bestObjID,class,z,dered_u,dered_g,dered_r,dered_i,dered_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
1237658918533726565,GALAXY,0.521046,22.41436,21.55492,20.07083,19.02567,18.63217,0.5612079,0.1305695,0.04662113,0.0279673,0.06360219
1237665569827259318,GALAXY,0.5189182,23.60173,22.16822,20.8791,20.15493,19.80865,1.066854,0.1247623,0.05792358,0.04439174,0.1167465
1237680245206352263,GALAXY,0.3891129,22.01977,20.67672,18.98148,18.31183,17.81066,0.648776,0.0695155,0.02510446,0.02039236,0.0469204
1237666245206935074,STAR,-0.0001438164,17.73336,16.76966,16.82132,16.67798,16.60392,0.01528086,0.004626625,0.004901646,0.005498392,0.01034686
1237679439885893796,GALAXY,0.2839609,23.50099,20.20662,18.52358,17.98945,17.6086,1.287793,0.03594477,0.01341568,0.01249871,0.02651539
1237660584983134714,QSO,2.768096,22.6685,21.49388,21.44664,21.39322,21.63415,0.3198214,0.0590507,0.1004162,0.1348249,0.5219948
1237662224596533375,GALAXY,0.04011466,18.72772,17.73723,17.3171,17.08159,16.89314,0.03164646,0.00671735,0.006398547,0.006665249,0.01864696
1237655129833406629,GALAXY,0.4158021,23.63263,21.10632,19.24667,18.5374,18.15367,1.484593,0.08377422,0.0242389,0.01890396,0.05365803
1237661873467621577,STAR,-8.681216e-05,20.90423,21.48825,19.30678,19.11628,19.008,0.06258713,0.04600146,0.01234826,0.01446667,0.03747804
1237678809065193836,STAR,-3.779436e-05,21.22227,18.8161,17.58039,16.96408,16.53012,0.3040193,0.01349891,0.008410297,0.007258063,0.01585593
1237678920198849054,GALAXY,0.5132187,24.43421,22.67625,20.81831,19.81446,19.29395,2.062514,0.3393313,0.09887252,0.05876977,0.1244762
1237662269154263285,GALAXY,0.1603448,19.72704,17.97755,16.97883,16.55077,16.24563,0.06529915,0.007671055,0.005340457,0.005388342,0.01152334
1237655106763883022,GALAXY,0.5556742,25.77601,22.93141,21.63562,20.47546,19.83881,0.5515109,0.2576922,0.09756888,0.05241356,0.09553467
1237678597004853957,GALAXY,0.4617355,22.74996,22.03921,20.11102,19.31389,18.88896,0.7841867,0.1544354,0.04226736,0.02960196,0.07768075
1237679454926275243,GALAXY,0.492275,22.40233,22.03867,20.31769,19.51024,18.93459,0.6148649,0.1932689,0.057043,0.0374106,0.07193962
1237662263774151362,GALAXY,0.4927999,24.78884,22.00948,20.12502,19.229,18.73214,2.006422,0.1477043,0.04242698,0.02651364,0.07145792
1237662303509086780,GALAXY,0.4619609,26.84095,21.50502,19.60089,18.85615,18.43172,0.3423981,0.07689336,0.02366812,0.04279837,0.04329875
